	Narrator	Previously on Futurama.
	Bender	[From the living room couch] Fry, run, run. Get over here, oh, my God, oh, my God!
	Fry	What? What is it?
	Bender	Shut up already! Calculon's on TV!
	Monique	I beg you, Calculon, don't ring that door chime.
	Calculon	I have no choice, Monique. Whoever the blackmailer is, he lives behind this hideous yet strangely familiar door.
	Human Friend	Calculon residence. Oh, hello, Mr. Calculon.
	Calculon	Son of a bit. This is my house. But that means I'm blackmailing myself. Why didn't you tell me, Monique?
	Monique	I tried to, but I couldn’t. Oh, Calculon, I'm afraid you have a fourth personality the other three don't know about, and it and I are lovers!
	Bender	How's Calculon going to take this, Fry, especially after that humiliating tennis tournament? Fry?
	Fry	[Adjusting his tie in the mirror] Don't know, Bender. Tonight's my big date with Colleen. I got to run.
	Bender	But me and you like to watch together. Look, I got you a cabbage to snack on. Humans like cabbage, right?
	Ride Barter	Step right up to the 2D Tunnel of Love. Not one, not three, but two glorious dimensions for the price of a single ticket. [Fry and Colleen are sitting in a ride car.] Keep your hands in the car, shut up, and have fun.
	Fry	Wow, you even look beautiful in 2D.
	Colleen	I do? But from your perspective, I'm just a line segment. [Shot of Colleen as a line segment.]
	Fry	A really hot line segment. So, listen, sweetie pie, I was thinking maybe we should take this to the next step.
	Colleen	Really?
	Fry	Yes. Colleen...will you be moved in with by me?
	Colleen	(SOFT GASP)
	Amy	Way to go.
	Zoidberg	Hooray, hooray.
	Leela	That's great.
	Bender	You're moving in with her? Why can't she move in with us? [He curls into a ball at Fry's feet.] I could just curl up at the foot of the bed. (WHIMPERING)
	Prof. Farnsworth	Listen up, everyone. I know you've all been extremely worried about the cosmic anomaly.
	Hermes	The what? Oh, right.
	Prof. Farnsworth	But there's good news! We're all going to learn more about it at a scientific conference.
	Man walking on screen	...like a city made of marshmallow.
	Stephen Hawking	Welcome. I am the pickled head of Stephen Hawking on a way-cool rocket.
	Leela	Black hole Hawking? Wow, if I knew I was going to meet you I would have done something with my hair. [She plays with her hair.]
	Stephen Hawking	You should have.
	Stephen Hawking	In conclusion, I understand nothing about the anomaly, even after cashing the huge check I got for writing a book about it.
	Prof. Farnsworth	I know this anomaly is terrifying. But as scientists, is it not our sworn duty to seek out knowledge, even at the cost of our very lives?
	Stephen Hawking	No.
	Prof. Farnsworth	I say we must mount an expedition to the anomaly forthwith.
	Wernstrom	I agree.
	Prof. Farnsworth	Wernstrom!
	Wernstrom	Professor Farnsworth is correct. Only a manned mission can... [Yelps as he is hit on the head with a pair of dentures.]
	Prof. Farnsworth	Don't listen to that crackpot!
	Wernstrom	But I'm agreeing with you.
	Prof. Farnsworth	I'll make you eat those words, you moron! [He spits his dentures into his hand and prepares to throw them, but Hermes and Leela stop him from doing so.]
	Wernstrom	Ah! [Protects himself with his arms.] I volunteer to lead the expedition. I have a squad of graduate students eager to risk their lives for a letter of recommendation.
	Prof. Farnsworth	Your squad sucks bosons! My team is twice as qualified and three times as expendable.
	The PE Crew	Yeah!
	Wernstrom	Oh, tough talk for someone with only one Fields Medal.
	Crowd	Ooh!
	Stephen Hawking	Ooh!
	Prof. Farnsworth	Wernstrom, I ought to...
	Stephen Hawking	I didn't know I could do that. Now quiet down and settle this like men of science.
	Prof. Farnsworth	Very well.
	Prof. Farnsworth	Let Deathball begin!
	Prof. Farnsworth	Go, Planet Express!
	Wernstrom	Go even more, my team!
	Fry	Leela, header! [He prepares to knock it over to Leela, but it easily tramples over him. Cut to Bender smoking a cigar. A ball hits him, but he doesn't move. It bounces off him then hits a wall and rolls into a hole. The hole lights up blue. Cut to the scoreboard: "1-1." Cut to Fry riding on top of a ball. He manoeuvres it around a hole and heads toward an opponent riding another ball.]
	Colleen	Woo hoo! Bust those balls!
	Zoidberg	Hooray! We're equally good! [He is run over from behind by a ball.]
	Leela	Come on, Bender! Your grandmother could push harder than that!
	Bender	No crap. My grandmother was a bulldozer.
	Bender	And thus metal man defeated meat man. The end.
	Colleen	Come here, winner!
	Colleen	Come here, loser! [She kisses him.]
	Fry	Colleen, what are you doing? My face is over here.
	Colleen	This is my boyfriend, silly!
	Fry	I thought I was your boyfriend.
	Colleen	You are.
	Fry	Well, how can you have two boyfriends?
	Colleen	Oh, I don't. I have five. [Three more men walk in and stand next to Chu.] Fry, meet Chu, Bolt, Ndulu, and Shlomo.
	Chu	Nihow.
	Ndulu	Greetings.
	Bolt	Pleasure.
	Fry	But... But...
	Colleen	Shlomo and Ndulu will help you move your stuff into my apartment tonight.
	Ndulu	Welcome to the relationship, buddy!
	Fry	Hmm? [He spits a piece of butterscotch into his hand.]
	Chu	There's my butterscotch.
	Prof. Farnsworth	Congratulations, Deathballers! We've won the right to explore the anomaly!
	Zoidberg	What? I thought I was playing for my freedom!
	Prof. Farnsworth	No. [He inserts a crank and turns it to power a hologram of the Anomaly.] Now, I've often said "good news" when sending you on a mission of extreme danger. So when I say this anomaly is dangerous, you can imagine how dangerous I really think it is.
	Hermes	Not dangerous at all?
	Prof. Farnsworth	Actually, quite dangerous indeed.
	Hermes	That is quite dangerous!
	Prof. Farnsworth	Indeed. Now stop shilly-shallying! Prep the ship and line up for your pre-flight coffee enemas!
	Fry	I don't know what to do, Leela. Should I move in with Colleen and her four other boyfriends?
	Leela	What are you going to do? Sleep in a big pile like hamsters?
	Fry	No! It's not like that. Everyone gets his own room and a shelf in the refrigerator.
	Zoidberg	Take the deal, Fry! If there's a delicious cake, isn't it better to have one slice than none at all? Even if four other guys eat the other four slices, and they're all thrusting their sweaty naked bodies against the cake?
	Amy	Only one thing matters, Fry. Do you really love Colleen, like I love my little squeezle? [She squeezes him and his head expands and eyes expand out of his head. He giggles.
	Fry	Yeah. I do love her.
	Kif	Then things will work out. [Amy lets go of him and he contracts to normal size, but one eye remains out. Amy pokes it and it pops back to normal size.]
	Prof. Farnsworth	Whoa!
	Enema Bot	Double espresso for Philip Fry?
	Fry	Sorry, I'm not going on the mission. I'm moving in with Colleen!
	Kif	Good for you, Fry.
	Zoidberg	Hooray!
	Amy	Alright!
	Fry	I'll just take that to go. [He is poured a coffee and it's handed to him.]
	Colleen	Yay! [She hugs Fry.] Welcome to your new home!
	Fry	Thanks, Colleen. And listen, I'm sorry I got jealous before. [They walk through the doors.] I'm just happy to be here with you.
	Ndulu	Want a slice of delicious cake?
	Bender	(Gasps) The anomaly!
	Amy	It's so anomalous.
	Hermes	I'm feeling dread deep in my dreads!
	Prof. Farnsworth	Wernstrom!
	Wernstrom	Yes, and I'm afraid I have disturbing news about the anomaly. You see...
	Prof. Farnsworth	How did you get this number? Hermes, hang up on him in the rudest possible manner.
	Hermes	Yes, sir! [He drops his pants and grasps the phone between his buttocks.]
	Wernstrom	No, not the crack slam! [Hermes slams the phone down and the screen goes to static.]
	Colleen	Oh, my life rocks. [She pours the wine into six glasses.] I've got good wine, five sweethearts, and today, I was promoted to Chief of Police.
	Fry	Here's to you.
	Chu	Me?
	Fry	No, Colleen. I'm making a romantic toast.
	Chu	Sorry.
	Fry	You have the most beautiful eyes I think I...
	Ndulu	Thank you.
	Fry	I'm not talking to you!
	Ndulu	Then I am not talking to you, either.
	Schlomo	Will everyone be quiet a little? I want to hear what he has to say!
	Fry	Thank you.
	Schlomo	Not you, you Verstinkener. You're just here 'cause she likes cave men from the stupid ages.
	Bolt	Oh, look who's talking. You're just here 'cause she got matzoh fever.
	Ndulu	So, what's the explanation for you, moron fever? (laughs)
	Colleen	Enough! All of you! I love you. Most people in this world don't have what we have. Let's just be grateful, okay?
	ALL	Yeah.
	Chu	Yeah, you're right.
	Fry	So, Colleen, you look really nice.
	Colleen	Oh, thanks. I got dressed up for my date. [A car horn honks. Colleen runs toward the door.] There he is. Don't wait up!
	Fry	That's it. I thought I was okay with this, but I'm not. I'm breaking up with you! [Musical score is played. Colleen looks as Fry sadly and he retains his anger.]
	Ndulu	Me?
	Bender	Why are we risking our lives? Can't we just send in a robotic drone? [He looks over at the crew, who are expectedly staring back at him.] What's everybody looking at me for?
	Bender	"Let's send a robot to explore it. 'Cause you can always buy another one for 20 bucks."
	Leela	Really?
	Bender	Well, it's 30 bucks, and there's a $10-mail-in rebate. When the League of Robots hears about this, they won't be pleased. Oh, you'll pay, my darlings.
	Hermes	The League of Robots doesn't exist, tin mon. It's just a cartoon for babies.
	Bender	Oh, yeah? Then how come when I was a kid, I had a whole sticker book of them? [She airlock doors shut and Bender's voice is muffled.] Answer that with your precious logic.
	Bender	Bender to crew. I have reached the gateway to another universe. I feel awed and strangely humbled by the momentous solemnity of this occasion. (yelling) Hey, other universe, bite my shiny metal... [He thrusts his ass into the anomaly, but he and the ship are shot away from it by a pink blast. Everybody is screaming and bricks fall out of Bender.]
