	Announcer	[voice-over] Futurama is brought to you by ... [The oval retreats the right side of the screen and is replaced by a man with enormous teeth.] ... Thompson's Teeth: The only teeth strong enough to eat other teeth.
	Roberto	I'm thinking maybe a few seconds ago.
	Bender	Quick! Let's keep escaping!
	Hermes	Times two, carry the one...
	Fry	Oh, you sad, worthless human.
	Hermes	What are ya-- Sacred hog of Prague! That was my anniversary gift to LaBarbara!
	Fry	Fear not! For I shall assist ye!
	Hermes	Robots don't say "ye"!
	Fry	Relax, mammal. My robotic software shall meet your calculatory needs. [He looks at the paperwork.] What is the meaning of this symbol?
	Hermes	That's a plus sign, you pointy-haired loony! Quit thinking you're a robot!
	Fry	I'll show ye!
	Fry	Stand back. I'm a tool-bot.
	Leela	You're not a tool-bot. You're not a food-motron. You're not a robot of any kind.
	Fry	Yes, I am. I simply haven't discovered my primary function yet.
	Leela	OK, this has gotta stop. I'm going to remind Fry of his humanity the way only a woman can.
	Professor Farnsworth	You're going to do his laundry?
	Leela	[sexfully] Fry, this is for you.
	Fry	Beep.
	Leela	Oh, for God's sake!
	Zoidberg	By a scallop's forelocks! What's with all the beer, Fry?
	Fry	[drunk] Alcohol fuels my power cells. [He stands up.] And as a mighty robot, I-- [He burps and falls back onto the couch, tipping it over backwards.] Beep.
	Roberto	Thanks for helping me escape, Bender.
	Bender	Oh, it was nothing.
	Roberto	[shouting] It was not nothing! [talking] I wanna repay you. Let me get you something in here.
	Roberto	[shouting] Hands up! This is a stick-up again!
	Bender	Wow! Hitting the same place three times? I admire your style, Roberto.
	Roberto	Gimme the remaining dough. And the calendars ... and that pen. Try to tear it so most of the beads are on my end!
	URL	Police! You're busted!
	Smitty	And don't try anything. This glass here is laser-proof. [Roberto puts his arm through the glass and waves his knife around.] Fire lasers! [They do and the laser bolts bounce off the glass.] Duck! Lasers!
	Bender	Come on! I got a place where I like to hide after crimes.
	Amy	Aw! He looks like a little insane drunken angel.
	Bender	[panting] Hey, everybody. Meet my good pal, Roberto.
	Hermes	Hey, mon.
	Roberto	Nice to meet you.
	Smitty	[on megaphone; from outside] Come out with your hands up.
	Roberto	[shouting] Hostages!
	Roberto	Back off! I got hostages!
	Zoidberg	Hooray! I'm helping!
	Smitty	[on megaphone] Do you have any better hostages?
	Roberto	To show them who's crazy, I'm gonna execute some of you. How 'bout you?
	Professor Farnsworth	Ouch! That's going to bleed when my heart beats.
	Leela	Wait! Take me first!
	Bender	Yes! Take her first.
	Roberto	Shut up! Stop telling me how to do this!
	Zoidberg	Oh, the fear!
	Roberto	I'm thinking of a number between one and ten. Guess it and you die first. Go!
	Bender	Um ... OK. Fifty ... six ... ish?
	Roberto	56? 56? Oh, man! Now that's all I can think about! I'm gonna kill you, you ... no good ... 56-ing--
	Bender	Don't kill me yet! I'm starting to come down with Stockholm Syndrome ... handsome!
	Fry	Halt, fellow robot!
	Roberto	Hey, Red. You're just in time to join the hostage situation. Which side you wanna be on?
	Fry	The side that kicks your twisted, metal ass!
	Leela	Fry! Stay back. He's too powerful.
	Fry	Negative, bossy meat creature. I know now what my primary function is: I am a battle-droid. Sworn to protect the weak from crazy robots.
	Roberto	I'm not crazy! Don't call me crazy! I'm just not user-friendly!
	Hermes	Fry! Don't be a hero! It's not covered by the health plan!
	Roberto	Let's see how much of a robot you really are!
	Fry	No knife can penetrate my skin-tanium armour.
	Roberto	Help! Help! He is a battle-droid! Somebody help me! Mommy! I'm sorry I spilled the transmission fluid, Mommy! No! No! Don't weld me to the wall, Mommy!
	Smitty	[on megaphone] We're willing to listen to your demands.
	URL	Hey, baby. Wash that off before you put it back.
	Hermes	Who's brave now?
	Amy	Hooray!
	Zoidberg	Bravo!
	Leela	You did it, Fry.
	Bender	Congratulations, buddy. You're a credit to my race.
	Fry	[mechanical voice] It was nothing. I-- [He sees his bleeding arm and screams. His wipes some onto his finger and looks at it.] [normal] Blood? Robots don't have blood. I must be a, a--
	Zoidberg	A squid?
	Fry	A human! Oh, my God! I'm a human!
	Zoidberg	Also good.
	Leela	Thanks for saving us, Fry.
	Fry	I'm gonna continue never washing this cheek again.
	Bender	Buddy, you may be wrapped in greasy skin, but inside, you've got the heart of a robot.
	Fry	Aw. Thanks, Bender.
	Bender	Just like inside me, I've got the heart of a human. [He takes one out and everyone gasps and cringes.] What?
	Bender	[over credits] What?
