	Doctorbot	Notify his survivors.
	Gypsy	The car that ran you down on the moors was also a were-car. It beamed a virus to you through its demonic headlights.
	Leela	That's crazy!
	Gypsy	Yes. So crazy that it must be true! Each midnight, when your clock resets to zero, your hardware reconfigures into a murderous, four-wheeled car.
	Bender	I can't keep running people over. I'm not famous enough to get away with it. Can't you help me?
	Gypsy	Yes. But you must be willing to pay a terrible price.
	Bender	Yeah, yeah, yeah.
	Gypsy	Follow me.
	Gypsy	According to this ancient read-me file, your only hope is to destroy the original were-car.
	Bender	I'm with you.
	Gypsy	In its death throes, the dread car will beam out the virus's uninstall program, thus ridding you of the curse.
	Bender	And otherwise I can never die?
	Gypsy	Who said that? Sure you can die. You want to die?
	Bender	No! I wanna live! There's still too many things I don't own!
	Gypsy	Then live on, forever cursed. Each night, your attacks will become more gruesome until, one dark night, you are doomed to kill your dearest friend.
	Fry	I wouldn't wanna be me right now.
	Gypsy	[pointing] Now go! Go! [She presses against the glass and topples forwards.] Uh, could one of you just-- Ah, forget it. I'll just sleep here.
	Leela	There. No rampaging for you tonight.
	Bender	Wouldn't it make sense to weld everyone except me to the wall?
	Leela	Just relax, Bender. Tomorrow we'll pry you down, have a nice breakfast and then go hunt down and slaughter that ancient evil.
	Fry	It'll be a rich, full day.
	Leela	Well, goodnight. I'm gonna go make my dinners for the next month and freeze them.
	Fry	[shouting] Bender, no!
	Leela	[shouting] Fry, stay back!
	Fry	[shouting] You jerk. I thought I was your best friend. What kind of two-timing kill-mobile are you?
	Fry	I can't believe this! Bender is supposed to murder his closest friend, which I thought was me. But he went straight for you. He didn't even try to second-degree murder me.
	Leela	Could you give me some help? I think Bender crushed my foot.
	Fry	Stop rubbing it in!
	Bender	Oh, God! Fry, I'm so glad to see you. I didn't hurt you, did I?
	Fry	Not physically. But why don't you ask your new best friend, Leela?
	Bender	I tried to run you over?
	Leela	It was very sweet of you, Bender.
	Bender	Fry, it doesn't mean anything. I have love enough for two.
	Fry	Words. Nothing but sweet, sweet words that turn into bitter, orange wax in my ears.
	Leela	Enough with the feelings, you two. If we're gonna cure Bender we've got to go back to the castle and hunt down the original were-car.
	Fry	Yeah, yeah, yeah.
	Leela	Cursed, got it.
	Bender	Whatever.
	Leela	The tracks lead here.
	Fry	Thanks, eagle eye.
	Leela	Now it's daylight, so he should be in robot form. But be careful: Many robots are stupid and violent.
	Bender	[sarcastic] I wish I was stupid and violent. Then we'd see what's what, I'd pound him till--
	Yokelbot	Get ye to your houses, ye ignorant villagers.
	Leela	We are not ignorant villagers, we're sophisticated New New Yorkers. Whup his butt!
	Yokelbot	Stop! What are ye doing?
	Bender	We're whaling on the original were-car, which is you, you jerk.
	Yokelbot	Ye think me be he?
	Bender	Sí.
	Yokelbot	Nee. I mean, "no". I was given the curse many a year ago while on a bird-watching trip to the Arctic...
	Yokelbot	[voice-over] I was attacked by a vicious, motorised sled. The natives called it "The Abominable Snowmobile".
	Inuitbot	Yes, it's true. I ran over that bird-watching jerk and a hundred others. Even my best friend from aromatherapy school.
	Fry	I once had a best friend who liked to smell things with me.
	Inuitbot	Alas, I'm afraid I'm not the original were-car. I received the curse while taking a learning annex class from a famous robot actor.
	Inuitbot	[voice-over] You know him as Calculon.
	Calculon	[melodramatically] Oh, fate most cruel, would that my boundless acting skills would avail me a sword with which to slay this wretched curse.
	Bender	Let's kick him some more.
	Calculon	No, wait, let me explain. [melodramatically] It all began one fateful night a thousand years ago.
	Bender	Whoa, whoa, whoa, whoa! You're a thousand years old? Your bio says you're 27!
	Calculon	Lies! I change my identity and upgrade my appearance every few decades to avoid suspicion. I was all of history's great acting robots: Acting Unit 0.8, Thespo-mat, David Duchovny!
	Fry	Look, are you the original were-car or not?
	Calculon	No, but you are nearing the end of your search. For, you see, I was attacked by the original were-car.
	Bender	Give us a name, MacButt!
	Calculon	The year was 2019, and I was just a lowly robot arm...
	Calculon	[voice-over] ...working in an automotive research lab. I was working on Project Satan ... [He puts a door onto the side of a red car.] ... a savage, intelligent military vehicle built from the most evil parts of the most evil cars in all the world. The steering wheel from Hitler's staff car, the left-turn signal from Charles Manson's VW, the windshield wipers from that car that played Knight Rider.
	Fry	Knight Rider wasn't evil.
	Calculon	His windshield wipers were. It didn't come up much in the show though. Anyway...
	Calculon	[melodramatically; voice-over] Only after bringing Project Satan to life did they discover they had made a horrible mistake. [A man turns the key in the ignition.] For, you see, it was pure evil.
	Leela	So what happened to Project Satan?
	Calculon	[voice-over] It's either in Paris, or much more likely...
	Calculon	[voice-over] ...still in the abandoned automotive lab.
	Leela	You guys distract the were-car and I'll kill it by plugging its exhaust pipe with this silver potato.
	Bender	[whispering] Psst, there it is.
	Leela	It looks so unhappy. Excuse me? Are you Project Satan? [It growls feebly.] Don't be afraid. We know what you are.
	Project Satan	You do?
	Leela	Would you like us to ... put you out of your misery?
	Project Satan	Misery? What misery? I love killing people! Squishing them till their organs squirt out like chunky mustard.
	Bender	Look, everyone loves killing people, but I don't wanna hurt my friends.
	Leela	Oh, no! It's midnight.
	Bender	Hey, this is starting to feel pretty good!
	Leela	Fry, distract him.
	Fry	[leaping around] Hey, Project Satan! Over here! I'm a blind pedestrian! 20 points!
	Leela	Oh, no! There's no exhaust pipe!
	Project Satan	That's right! Thanks to Ed Begley Jr.'s electric motor, the most evil propulsion system ever conceived! [Bender completes his transformation and Project Satan pulls up beside him.] Take whichever one you want.
	Bender	Oh, boy! I feel like a car in a candy store!
	Fry	[gasping] Yes! He chose me! He's trying to kill me! Leela, I'm so happy! [Bender rams Fry's legs twice. Fry tumbles onto Bender's roof, through the sunroof and inside Bender. The seatbelt comes around him.] [talking] Oh, thanks, Bender. [The seatbelt chokes him.] [choking] Too tight! Too tight!
	Leela	Whoa!
	Bender	Uh-oh.
	Leela	Bender, you're cured! But what happened to Fry?
	Bender	[crying] I must've killed him. He's my best friend and I killed him. I never felt so empty inside.
	Fry	Bender, I'm alive! [He climbs out.] You didn't hurt me at all. But I know you wanted to, and that's what matters. [He opens a beer.] Here's to you.
	Bender	Hey, that's my last beer, you bastard. I'll kill you!
	Fry	I'll kill you too, buddy. I'll kill you too!
