	Narrator	[voice-over; on TV] You're entering the vicinity of an area adjacent to a location. [A stopwatch and telephone fly past.] The kind of place where there might be a monster or some kind of weird mirror. [An old boot, a man shampooing his hair and a half-eaten drumstick fly past.] These are just examples. It could also be something much better. [A door rotates towards the camera in the centre of the picture.] Prepare to enter The Scary Door. [The door opens onto the titles, which shatter like glass. The show begins and the first scene is a pan over a post-apocalyptic wasteland. The camera glides past smoking rubble.] As per your request, please find enclosed the last man on earth.
	Fry	No way! I'm not letting my best friend get recycled. Not for five cents, not for five hundred cents! Leela, I've got a plan!
	Leela	I've got a better plan.
	Fry	[whispering] Why would Nixon stay at the Watergate?
	Leela	[whispering] They give you a discount if you've been here before.
	Fry	Keep going, we're right behind you.
	Bender	Whoa, mama! Get a room, you two!
	Man	[from inside] We're in a room!
	Bender	Well then lose some weight.
	Richard Nixon	[sleep-talking] Aroo!
	Richard Nixon	[sleep-talking] Oh, yeah. You women's libbers really know how to party!
	Bender	[whispering] Psst! There I am!
	Richard Nixon	[sleep-talking] Hey, Betty Friedan, send a little of that lotion my way!
	Leela	OK, almost got it. Steady. Steady. Don't panic.
	Fry	Ooh! [Below, some more writing says "Thought Activated".] Uh-oh!
	Richard Nixon	What the-- [Fry smiles weakly at Leela.] You shaggy peaceniks have some nerve!
	Bender	I'm just here for what's mine. Don't make me kick your neck.
	Richard Nixon	Bring it on, soup can.
	Leela	Alright, break it up, you two!
	Richard Nixon	That's it. You're all going to jail. And don't expect me to grant a pardon like that sissy, Ford.
	Leela	You'll never pardon anybody because you'll never get elected president. The voters of Earth aren't the pea-brained idiots they were back in your time.
	Richard Nixon	Oh, no? Well, listen here, missy. Computers may be twice as fast as they were in 1973 but your average voter is as drunk and stupid as ever. The only one who's changed is me. I've become bitter and, let's face it, crazy over the years. And once I'm swept into office, I'll sell our children's organs to zoos for meat and I'll go into people's houses at night and wreck up the place.
	Fry	Well, he lost my vote.
	Richard Nixon	Like one vote ever made a difference. Now, if you'll excuse me, I'm going to inch myself over to the phone and call the police.
	Bender	Not so fast, Nixon! Are you familiar with audio tape?
	Richard Nixon	Uh-oh. I don't like where this is heading.
	Richard Nixon	[on tape] And I'll go into people's houses at night and wreck up the place!
	Richard Nixon	My God? I really sound like that? I thought my voice had more of a Clark Gable quality.
	Leela	The jig's up, Nixon. We'll trade you the tape for the body.
	Richard Nixon	Oh, expletive deleted. You've got a deal.
	Fry	Hey, I've got one last thought.
	Bender	Ah, it's good to be back in one piece again. Except I can't get these damn bumper stickers off.
	Linda	[on TV] The sheer drama of this election has driven voter turnout to its highest level in centuries. 6%
	Morbo	[on TV] Exit polls show evil underdog Richard Nixon trailing with an estimated zero votes.
	Leela	Yes! The system works!
	Linda	[on TV] The time is 7:59 and the robot polls are now opening ... and the robot vote is in. Nixon has won!
	Leela	No!
	Fry	What?
	Bender	Get out of town!
	Fry	Why would robots vote for Nixon now that he's just a head in a jar?
	Campaign Manager	I give you the next president of Earth!
	Richard Nixon	[shouting] Nixon's back!
	Prof. Farnsworth	I can't believe it. He won by a single vote.
	Bender	Well it ain't my fault. I'm a non-voting felon, thank you.
	Fry	Well it's not my fault either 'cause I forgot to vote.
	Leela	Oh, crud. I knew there was something I meant to do today.
	Morbo	[on TV] Morbo congratulates our gargantuan cyborg president. May death come quickly to his enemies.
	Richard Nixon	Aroo! Who's kicking who around now? [He rips away the fence outside the White House.] Aroo! Aroo!
	Richard Nixon	Knock, knock!
